name,feature_easting,feature_northing,pointx_class
The Physiotherapy & Sports Clinic,419790,586151,5280365
Boots,503421,439543,5280364
Boots,537717,173876,5280364
Boots,458866,304508,5280364
Boots,616307,244488,5280364
Boots,351470,492838,5280364
Boots,359913.2,224156,5280364
Russell Jenkins,416305,184096,5280365
Craven Street Chiropody Clinic,390387.8,398041,5280365
Boots,315781.4,187112.4,5280364
Boots,415292,279504,5280364
Boots,400677,291198,5280364
Alexandra Physiotherapy Clinic,387803,220078,5280365
Spire Hospital Leeds Physiotherapy Department,432072.6,437428.4,5280365
The Pudsey Clinic,422731,433547,5280365
Massingham Spinal Therapy Clinic Trevor Roberts,579310,324838,5280365
Northern Intergrative Health Practice,424129,546967.6,5280365
Aim Clinic,477004.2,135408.7,5280365
Boots,528537,173271,5280364
Enfield Osteopathic Clinic,533801,195512,5280365
In Motion Clinics Ltd,341474.7,369462.9,5280365
The Park Clinic,323582.7,363943.2,5280365
Boots,337622.6,504520.4,5280364
Boots,471441,173491,5280364
Boots,384721,391124,5280364
Robert & Andre Kulesza Osteopathy & Sport Injury Clinic,516100,174423,5280365
Evergreen Sports Clinic,534931,163591,5280365
Boots,469622,234089,5280364
Boots,535726,203864,5280364
Diversity Living Services,534590,193525,5280365
Hansson Chiropractic Centre,367182,90300,5280365
The Thames Clinic,503395,171627,5280365
The Hazels Mental Health Resource Centre,306054,261419,5280365
Leyland Clinic,353918,422335,5280365
Littlehampton Health Centre,503112,102040,5280365
Diane Nivern Clinic Ltd,380574,406735,5280365
The Chi Clinic,524183,164720,5280365
Llanrumney Health Centre,322015,181391,5280365
Birmingham & Solihull Mental Health Trust,414663,282770,5280365
Shoreham Health Centre,521615,105228,5280365
Midland Eye,415348,280208,5280365
Knightsbridge Doctors,527753,179511,5280365
Chepstow Clinic,353469,193947,5280365
Apsaras Aesthetic Clinic Within Simply Gym,430366,276726,5280365
Midlands Eye Care,424607,322748,5280365
Lomack Health,503326,247883,5280365
Adlington Clinic,360290,413320,5280365
Gorton Clinic,387481.1,396774.2,5280365
Kidbrooke Clinic,541028.2,175430.1,5280365
Orrell Clinic,353168,405029,5280365
Worthing Sexual Health Clinic,514180,102381,5280365
St Ann's Health Centre,458122.6,340948.2,5280365
Gaer Clinic,329489,187081,5280365
Hallfield Clinic,526003,181168,5280365
Hadleigh Clinic,580444,187411,5280365
Mill Hill Clinic,521670,192213,5280365
Eltham Green Clinic,327603.7,386594.8,5280365
Hants Lane Clinic,341467,408540,5280365
Melbourn Community Health Centre,538438,244600,5280365
Appleby Health Centre,540088.1,181070.7,5280365
Arnold Health Centre,458557.7,345553.6,5280365
The Back Pain Centre,411951.5,92138.9,5280365
Allington Clinic,617981,245199,5280365
Stonehouse Clinic,380612.3,205410.8,5280365
Ellen Royde Health Centre,410548,421080,5280365
CAMHS,503981,440358,5280365
Cornlands Road Clinic,457247,450680.8,5280365
Nevells Road Health Centre,521655,232896,5280365
Overton Clinic,337303,341770,5280365
A Sethi Ltd,528685,181515,5280365
Aston Health Centre,407576,290086.4,5280365
Vale Drive Health Centre,524986.1,196068.5,5280365
Ewloe Child Health Clinic,330254.2,366380.6,5280365
Trentside Clinic,390030,333778,5280365
Irwin Road Health Centre,352679.8,393486.9,5280365
Darlaston Health Centre,397529,296421,5280365
East Sussex NHS,562464,100467,5280365
Caergwrle Health Centre,330417.8,357560.4,5280365
PCT West Wirral & Greasby,325585.7,387380.6,5280365
Wallsend Community Health Centre,430174.9,566940.9,5280365
Jane Ludlam Srd Lcsp,333780,187447,5280365
Back on Track Sports Injury Clinic,436258,145755,5280365
Keith Stephens,451289,532652,5280365
Sports Injury Clinic,528690,181496,5280365
The Rayleigh Sports Injury & Pain Clinic,579597.3,191579,5280365
First Rehabilitation & Physiotherapy Centre Ltd,543123,187718,5280365
The Physio,491245.9,335942.6,5280365
Claire Cresswell,530394,115983,5280365
Mark 1 Sports Therapy,241717.5,58751.1,5280365
Harris Mind & Body,451537,167067,5280365
Therapeutic Remedial Massages,430238,335004,5280365
Anatomy,341030.5,366842.2,5280365
Body Fusion on-form Sports Therapy,457435,106730,5280365
Owensis,384270,220549,5280365
M J Therapy,418168,185292,5280365
Back2best Sports Massage & Neuromuscular Reeducation,455695.3,207296.1,5280365
Physio & Therapy London Ltd,515855,171004,5280365
H J Health,370821,184029,5280365
Vaccination UK,518619,229204,5280365
Waddon Clinic,531203,164475,5280365
Emmanuel Miller Centre,536891,180989,5280365
Croesyceiliog Clinic,330484,196236,5280365
May Flower Community Hospital,566584,194153,5280365
Castle Street Clinic,499694.9,149336,5280365
St Peter's Travel Clinic,531428,105132,5280365
Masta Travel Clinic,559344,146712,5280365
Ellern Mede School,522142.6,193190.2,5280365
Destination Skin,496633,176750,5280365
Holden Herbal Pharmacy,542452,135090,5280365
Visualase Laser Eye Clinic,371776.9,408714.9,5280365
Primary Care Imaging,392059,383479,5280365
Lakeland Dialysis,311573,529941,5280365
Blackhorse Medical Centre,366978.7,177198.6,5280365
Birmingham Community Healthcare,412615.5,286652.7,5280365
The Elms Health Centre,394150,284893,5280365
Western Sussex Hospital Sexual Health Department,486736,105495,5280365
Bellair Clinic,146854.8,30201.3,5280365
Northumberland NHS Whalton Unit,419801,585009,5280365
Boldmere Clinic,410910,294086,5280365
P A Steele Ltd,384172,343732,5280365
The Gentle Birth Method,540341,189838,5280365
Monteiro Clinic,530631,176206,5280365
Charlton Kings Chiropractors Within Bedham Pharmacy,396378,221174,5280365
The Guild of Analytical Psychology & Spirituality,528846,178012,5280365
Welwyn Skin Clinic Ltd,521597.8,218179.3,5280365
Therapyworks,297026.2,168796.5,5280365
Fiona Lucas,412845,92889,5280365
Bounce Back,294219,87714,5280365
Health & Sports Injury Clinic,381818,280776.4,5280365
Dr C Gardner Thorpe,292912,92504,5280365
Kent Medical Imaging,567140,155376,5280365
North Warwickshire Primary Care Trust,430638.3,297965.5,5280365
Aylesham Health Centre,623734.7,152249.8,5280365
Honeypot Lane Health Centre,517796,191006,5280365
Scanscreen Clinic,498663,141285,5280365
BUPA,532561.8,181324.3,5280365
The Cardiac Centre - Loughton Clinic,541984.3,195816.1,5280365
Colcot Clinic,311327,169721,5280365
Greet Community Health Centre,409769.1,283769.9,5280365
Southern Health Foundation Trust,435793.6,113236.8,5280365
Wombwell Community Mental Health Team,439236,403104,5280365
Tavistock Clinic,247632,73771,5280365
The Abington Clinic,477504,262239,5280365
Doctor Now,494611,190002,5280365
Robins Lane Consulting Centre,389231,385128,5280365
Wantage Chiropractic Clinic,440083,190522,5280365
Newcastle Clinic,425002,567067,5280365
Chancellor House Surgery,472787,171957,5280365
Community Intervention Team,420223.7,528152,5280365
Weston Clinic Child & Adolescent Services,332614,160466,5280365
Wareham Health Centre,391887.2,87519.9,5280365
Wetherby Health Centre,440795,448247,5280365
Wolverton Centre for Sexual Health Within Kingston Hospital,519576.3,170008.3,5280365
Wilmslow Clinic Within Wilmslow Health Centre,384231.8,380629.9,5280365
Spitalfields Community Health Centre,533918,181624,5280365
Bladder & Bowel Care,290703,91454,5280365
Risca Health Centre- Podiatry Team,323314,191389,5280365
Albion Road Resource Centre,435222.1,568573.6,5280365
Broomfield Lane Clinic,377114,387015,5280365
Thorpedene Clinic,592158,185522,5280365
North Hampshire Haemophilia Centre,462177,153875,5280365
Maywood Surgery,492593,99648,5280365
Whitley Health & Social Services,472211,170775,5280365
St Matthew's Health & Community Centre,459665.1,305019.6,5280365
Stamford Health Clinic,503675.7,307505.1,5280365
Somerset Partnership NHS & Social Care Trust,330308.9,136969.9,5280365
Smokers Clinic,532907.8,176196.7,5280365
Withington Clinic,384946.6,392657.7,5280365
Southmead Health Centre,358340,178598,5280365
Clayton-le-moors Clinic,374531,430962,5280365
Rayleigh Clinic,580847,190335,5280365
Cleveland Health Centre,449452.6,520284.6,5280365
Your Healthcare,518997,169186,5280365
Child & Adolescent Services,415163,433038,5280365
Childs Hill Clinic,524598,186510,5280365
Chesterton Clinic,383446.4,348765.2,5280365
Child & Adolescent Mental Health Services,370670,354912,5280365
Cheadle Health Centre,401245,343113,5280365
Mynyddisa Clinic,325871.2,364104.3,5280365
Jennyfield Health Centre,429047,456304,5280365
John Milton Clinic,357150,179108,5280365
Keats House Community Clinic,545935.4,208480.4,5280365
Bamber Bridge Clinic,356792,426938,5280365
Grovehill Clinic,506594,209321,5280365
I S C A N,395791,394216,5280365
Margie Finchell,527452,181609,5280365
Saxon Clinic,486523,237104,5280365
Skinhealth Spa,416843,275079.5,5280365
Dermatology Consulting,558163,138592,5280365
Codsall Clinic,387063,303285,5280365
Community Healthcare Centre,596540,273627,5280365
Community Mental Health Centre,488980,510824,5280365
Dr Mark Brookes,340749,389004,5280365
Parkside Clinic,569356,208461,5280365
Luton Blood Donor Centre,509044.6,221481,5280365
The Willows Clinic,543513.8,171106.6,5280365
Dane Street Centre,523804,223864,5280365
East Leeds Health Centre,433126,433731,5280365
Formby Clinic,329991.9,406904.6,5280365
City Health Clinic,519693,298953,5280365
Ickenham Clinic,508023,186084,5280365
Eileen Lecky Clinic,523655,175384,5280365
East & North Herts Primary Care Trust,536092.2,214338.8,5280365
Northway Clinic,503694,488508,5280365
New Parks Health Centre,455610,305613,5280365
The Exeter Travel Clinic,292301,92601,5280365
Alliance Medical,528415,181551,5280365
Wrekin Physiotherapy Clinic,364783,310849,5280365
Berkshire Urology International Ltd,496255,175988,5280365
Merseyside Clinic,336924,387607,5280365
Fertility Exeter,293229.5,92734.8,5280365
Somerset Alliance MRI,330559,134957,5280365
N U P A S,391796.9,385920.7,5280365
Chinese Medical Centre,599355,224987,5280365
Cygnet Health Care,414203,421993,5280365
Barrowford Stress Clinic,385995.4,439728,5280365
Wells Clinic,600828.8,142903.6,5280365
Blemish Clinic,379961,419339,5280365
The London Dermatology Centre,528567,181533,5280365
The Shen Clinic,458917.1,92188.4,5280365
Alternative Centre,524532,175851,5280365
Verulam Clinic,515313,207083,5280365
Kings Private Clinic,544646.8,186762.8,5280365
The Mole Clinic,529120.7,181174.6,5280365
Travel Clinic,520418,175511,5280365
Tinsley House Clinic,437306.1,100256,5280365
Doctor Today,526158,185023,5280365
Essex Private Doctors,560844.5,194858.6,5280365
Skin Medical,383759.9,398412.8,5280365
Holmfield Consulting Rooms,460332,302806,5280365
The Celestine Clinic,569707,159888,5280365
Re-shape Cosmetic Surgery,568067,157964,5280365
Preventicum,531100.9,181396,5280365
Southampton Travel Health Clinic,441809,112723,5280365
Roodlane Medical,532938.3,181588.1,5280365
Stoneydelph Health Centre,423764,302244,5280365
Health Centres & Clinics,403993,586520,5280365
Otley Clinic,420085.8,445601.2,5280365
Penarth Dental Healthcare,318520.9,171686.9,5280365
Dr Sarah Myhill MB Bs,321323.2,270430.9,5280365
Mind & Body Safety Solutions Ltd,411445,447846,5280365
Joyce Campbell Clinic,543245,183655,5280365
Chinese Medical Centre,570444,207189,5280365
Hass Allergy Centre,545503,186719,5280365
Frontline Medicine,330579.1,386441.9,5280365
Ayurveda Health Centre,456933,302399,5280365
Harley Street Clinic,528577,181785,5280365
Portman Clinic,526612,184719,5280365
Mobility & Specialised Rehabilitation Centre,435955,390442.8,5280365
Camquit,524369,273498.6,5280365
Molesey Health Clinic,513968.4,168297.5,5280365
Leivale Medical Surgery,508641.8,221515,5280365
Oakham Dental Clinic,485400,308985,5280365
Orchard House,432567.9,265288.4,5280365
The Pat Lewis Child Development Centre,505159,206864,5280365
Phoenix Health Centre,391963.6,296603.9,5280365
Oates Hill Health Centre,449723,358832,5280365
Peacehaven Children & Family Centre,540993,101486,5280365
Patchway Health Clinic,360138,181523,5280365
Somerset Counselling Centre,322454,124454,5280365
Aesthetic Skin Centre,524861.6,190444.4,5280365
The Manor,435484,292276,5280365
North East Centre for Offshore Medicals,429446,549256,5280365
Birmingham South Clinic,404459,280133,5280365
B M I Healthcare,376968.5,162838.8,5280365
Joan Bower Health Therapy,602407.2,142359.8,5280365
Physio Plus,450802,340117,5280365
Norton Clinic,389279,351903,5280365
Northlands Health Centre,434650,391588,5280365
Otley Natural Health Clinic,420199,445537,5280365
Winchester Travel Health LLP,447473,129979,5280365
Canford Heath Clinic,402338,94731,5280365
Pitsea Clinic,573457,188094,5280365
Pocklington Health Centre,480151,449054,5280365
East Ham Care Centre,541765,184294,5280365
The Pendine Centre,314080.5,176444.6,5280365
Parkside Clinic,525605.8,179062.4,5280365
Skidmore Way Clinic,506187,194265,5280365
Pasteur Suite,514921,180039,5280365
Princess Royal Health Centre,413954.2,416673.2,5280365
Sussex Weald & Downs NHS Trust,488862.6,122328.9,5280365
Bromley Health Care,542428,166644,5280365
Water Street Clinic,331506.7,391668.1,5280365
Wrightington Wigan & Leight NHS Foundation Trust,359363,404428,5280365
Robert Parslow Ltd,304547,183467,5280365
D D C,523252.5,178781.2,5280365
N H S Warwickshire Special Care Dental Service,431414.4,263557.6,5280365
Grand Union Village Health Centre,512727,182650,5280365
Newington Road Clinic,637104.5,165446.9,5280365
Hainault Health Centre,545728,192024,5280365
Baguley Clinic,381494.2,388508.4,5280365
Mancot Clinic,332367.2,367214.7,5280365
Meriden Surgery,424856,281853,5280365
Department of Sexual Health,538863,188563,5280365
Attleborough Health Clinic,605123,295157,5280365
Rectory Road Health Clinic,495760.4,266920.9,5280365
Ruthin Community Dental Clinic,312457,358414,5280365
Sanderstead Clinic,533895,161312,5280365
Saxmundham Clinic,638698.1,263347.2,5280365
Hilary Newman Clinics,383476,218397,5280365
Unity Occupational Health & Wellbeing,619526.1,309492.8,5280365
Unicorn Clinic,349445,312329,5280365
Oval Medical Centre,531094,177483,5280365
Thorpe Health Centre,625827,309615,5280365
Paula Carr Diabetes Centre Within William Harvey Hospital,604090,142068,5280365
Pill Health Clinic,352364,175968,5280365
Eastney Health Centre,466380,99000,5280365
Westvale Clinic,340045,398666,5280365
Berkshire Health Care,472845,172877,5280365
Kimberley Health Clinic,449994,344804,5280365
Wharton Clinic,366403,366614,5280365
Biddulph Primary Care Centre,388225,357608,5280365
London Medical,528356,181905,5280365
Killamarsh Clinic,445581,381072,5280365
Buckhurst Way Clinic,541757.7,193329,5280365
Child & Family Centre,179563.4,45467.1,5280365
Thurcroft Clinic,449819,388879,5280365
Crown Way Clinic,432773,267372,5280365
Tenbury District Nurses,359908,268744,5280365
Genito Urinary Medicine Male Within City Hospial,456588,344000,5280365
Flitwick Community Clinic,503488.5,235149.7,5280365
Alsager Health Centre,379981,355168,5280365
Nakamura Clinic,448046.7,212304.4,5280365
Diet UK,353500,429236,5280365
Babybond & Ultrasound Direct,506676,171857,5280365
Llanishen Health Centre,317511,182106,5280365
Rye Community Clinic,591621.3,120452,5280365
Church Lane Clinic,413981.6,287625.4,5280365
Sanders Square Clinic,391611.6,372206.1,5280365
Shirebrook Health Centre,452525,367631,5280365
Courthouse Clinics,533370,123523,5280365
B U P A Within Spire Alexandra Hospital,576122,161790,5280365
B U P A Health & Wellbeing,361719.8,382439.9,5280365
Tipton Dialysis Centre,397212,292255,5280365
Care Fertility,476780,260327,5280365
Hamworthy Osteopathic Clinic,399295,91201,5280365
T Rex Wellington Ltd,315859,99962,5280365
Copeland Consultants Ltd,536954,181867,5280365
Great Sutton Clinic,337585,375966.5,5280365
The Contraception Service,245862,54462,5280365
The Healthy Living Centre,463795,105970,5280365
Wood End Health Centre,436508.5,282076.6,5280365
B U P A Health Centre Within Fylde Coast Hospital,332986,437125,5280365
Physio 4 Wycombe,486422.9,193341.1,5280365
South West Surrey Association for Mental Health Ltd,499983,149572,5280365
BUPA,439962,114726,5280365
The Baby Skan Studio,182174.4,44767.6,5280365
The Salt Cave,526001,173147,5280365
Princess Grace Diagnostic Centre,532381,180907,5280365
Priory Medical Group Travel Clinic,458038,452324,5280365
The Priory Clinic Canterbury,615291.5,157991.2,5280365
Clifton Lane Clinic,443386,392739.2,5280365
First View Imaging Ltd,458797,105828,5280365
French Medical Clinic,528090,181378,5280365
National Unplanned Pregnancy Advisory Service,333296.1,437013.8,5280365
Ford Ashworth Clinic,380994,214560,5280365
Brighton Laser Clinic,531854,103838,5280365
Pilgrim Hospital,533673.2,345606.7,5280365
European Scanning Centre,528655,181717,5280365
Global Health Medical Services,525621,178794,5280365
R M Rudd,528520,181621,5280365
Osteoporosis Assessment Service Ltd,520079,193066.8,5280365
Wolverhampton Wheelchair Service,391573,299193.4,5280365
Woolston Clinic,363835.5,389472.9,5280365
Wirral Community Healthcare NHS Trust,328121.2,388568.3,5280365
Wombourne Clinic,387676,292988,5280365
Woodsend Clinic,373773.9,394969.2,5280365
Devizes Health Centre,400568,161723,5280365
Westcliff Clinic,585935,186625,5280365
Watling Clinic,520757.9,191256.8,5280365
Sefton Acupuncture Clinic,330066,407988,5280365
Avon & Wiltshire Mental Health Partnership,361000,169234,5280365
Tintagel Health Office,205923,88285,5280365
Community Clinic,347624.4,188362.9,5280365
The Herts & Essex Fertility Centre,535012,202340,5280365
Sutton Cottage Hospital,411899,295703,5280365
M U M S,415821.3,279507.8,5280365
Okehampton Clinic of Chiropractic & Craniopathy,258954,95252,5280365
Cranfold Physiotherapy Centre,517078,149734,5280365
London Hyperbaric Chamber Within Whipps Cross Hospital,538923,188409,5280365
Destination Skin,516710,174369,5280365
Selston Community Unit,446879.9,352829,5280365
Scott Clinic,349304,392302,5280365
Settle Health Centre,381982.3,463908.9,5280365
Collier Row Clinic,549938.8,190826.4,5280365
Westhoughton Clinic,365276,405954.7,5280365
Oakdin Clinic,567318.3,193913.6,5280365
The Chorley Clinic,358802,417966,5280365
Kersley Clinic Ltd,528695,181606,5280365
Hockley Clinic,584109,192626,5280365
The Briars Aesthetics Centre,447205,166513,5280365
Heathfield Community Health Centre,557391.8,121142.4,5280365
Health Centres & Clinics,433713.4,576689.9,5280365
Diss Health Centre,611711,280199,5280365
Tarporley Clinic,355597,362635,5280365
Moordown Clinic,408798,94730,5280365
Blyth Health Centre,431029,581607,5280365
Archway Centre,529448,182071,5280365
Oakfarm Clinic,507624,183939,5280365
West London Centre - Sexual Health Within Charing Cross Hospital,523690,177957,5280365
Haverhill Health Clinic,566942.2,245458.6,5280365
Hetton-le-hole Medical Centre,435491,547973,5280365
The Knoll,360649,224146,5280365
Hythe Clinic,616378.1,134811.8,5280365
Ivy Lodge Clinic,435497,389195,5280365
Team Health Windsor Within Windsor Lesiure Centre,495780,177239,5280365
Genital Urinary Clinic,256505.6,134539.7,5280365
Raphael House,587710,190592,5280365
Heswall Clinic,326697,382063,5280365
Child & Adolescent Mental Health Services,430595,455603,5280365
Lansdowne Health Centre,404573.1,287821.4,5280365
Birdwell Clinic,434566,400875.3,5280365
Rosemary Street Health Centre,453280,361728,5280365
Sirona Care & Health,371350.6,182412,5280365
Sneinton Health Centre,458238,339712,5280365
Nuffield House Community Clinic,545894,210564,5280365
Durrington Health Centre,511848,104638,5280365
Coastal Medical Group - Morecambe Health Centre,343879,464438,5280365
Hove Polyclinic,527550,106285,5280365
Solihull Primary Care Trust,417310,285376,5280365
Lawns Resource Centre,519439.8,244749.7,5280365
N W Specialist Clinic,331810,385523,5280365
Haxby & Wigginton Health Centre,460240.8,458538.7,5280365
Martin Stringfellow,445385.2,410837,5280365
Maghull Therapy,336473,401520,5280365
Rennaisance Health & Beauty Spa,430355,455366,5280365
Bowskill Clinic,528285,181302,5280365
Solutions Fitness,310028.6,167857.5,5280365
Pilates Therapy Centre,497633,371878,5280365
Lotus Therapies,392820,187514,5280365
Muscledynamics,548750,221383,5280365
Stress Solutions,383538,398329,5280365
Rebound Lower Limb Injuries Clinic,381650,463263,5280365
Fiona Judson,403501.9,242177.3,5280365
First Degree Sports Therapy & Remedial Massage,431285,280425,5280365
Chester le Street Sports & Manual Therapy Clinic,427245,551841,5280365
Premier Sports Therapy,559154,147615,5280365
Hillview Physiotherapy & Sports Injury Clinic,500613,158364,5280365
Highfield Sports Injury Clinic Ltd,331295,432686,5280365
Exe-tensions,300312.2,81207.9,5280365
S57 Health & Wellbeing Clinic,527767,104938,5280365
Caerphilly Community Mental Health Team,315536,187352,5280365
St Chads Health Centre,341409.1,398807.7,5280365
Clifton Health Centre,459498,453157,5280365
West Green Child Development Centre Within Crawley Hospital,526266,136802,5280365
London Vision Clinic,528558,182038,5280365
The London Pain Relief & Nutritional Support Clinic,527824,188021,5280365
Learning Assessment & Neurocare Centre Ltd,385918,410821,5280365
Dr Quastel & Associates,540311.3,169440.8,5280365
Harlow Occupational Health Service Ltd,546189.4,211845.1,5280365
Arlington Aesthetic Clinic,560703,98984,5280365
London Womens Clinic Wales Ltd,318598,176748,5280365
Allergy Test UK Somerset,342102,157523,5280365
Glenlex Ltd,580424,155918,5280365
Manchester Neurotherapy Centre,378583,401937,5280365
Salts Ltd,532550,120015,5280365
Droitwich Medical Centre,389614,263206,5280365
Calverton Health Clinic,461691,349262,5280365
Chiltern Bodymatters Within Orchard Surgery,489506.8,187235.6,5280365
Vitalogy,320115,177066,5280365
Court House Clinic,559505,193611,5280365
Lawrence Western Clinic,354310,178187,5280365
Banstead Clinic,525088,159586,5280365
Lincoln Laser Skincare Ltd,497427,371408,5280365
Harley Street Health Care Clinic,528601,181892,5280365
Whitestone Clinic,438167,289656,5280365
The Hand to Elbow Clinic,374554,164850,5280365
Northwood Aesthetics Clinic,533394,170610,5280365
Absolute Image,424992,563970,5280365
Nottingham Back Pain Clinic,459067,343318,5280365
Advanced Medical Aesthetics,333869,190644,5280365
Windsor Dialysis Centre,495557.5,176914.2,5280365
Sandal Dentalcare Within Sandal Health Centre,433351.3,417075,5280365
Malmin Healthcare,530737,181585,5280365
Thornhill Clinic,506719,222588,5280365
I Sight Clinics,332892,416636,5280365
The John Howard Centre,536091.3,185099.2,5280365
Halewood Clinic,344930,385067,5280365
Brynmawr Health Clinic,319245.8,211961.6,5280365
Health Promotion Service,630519,144535,5280365
Community Midwives,368158,520530,5280365
Spire Bushey Hospital,515539,194467,5280365
Spire Healthcare Dewsbury Clinic Longlands Consulting Room,423194.9,423208.3,5280365
Lansdown Lodge,393303,221790,5280365
The Saleh Aesthetic Clinic,385972.1,388794,5280365
Camborne Centre,483922,212741,5280365
Rugby Department of Genito-Urinary Medicine,450551,274394,5280365
Penge Mental Health Centre,535364,169774,5280365
Stockbridge Village Health Centre,342502,393571,5280365
College Road Clinic,635988,170009,5280365
Moreton Community Clinic,326169,390210,5280365
The New Horsefair Clinic,546442,309768,5280365
South Downs Health NHS Trust,530170,107985,5280365
Patrick Clements Sexual Health Centre,520113,182831,5280365
Riversley Park Children's Centre,436298,291307,5280365
Livingston Drive Family Health Centre,337036,387347,5280365
Northern Genetics Service,424408,563703,5280365
This Is My Health Screening & Ultrasound Centre,429698,432913,5280365
Conway Court Clinic,528494,105491,5280365
Health Point,455210.3,345294.7,5280365
Penarth Health Centre,317884,171294,5280365
Buxton Health Centre,405599.9,373019.6,5280365
Bridle Road Clinic,335362,381038,5280365
Buckfastleigh Clinic,273669,66084,5280365
Hunslet Health Centre,431299,431611,5280365
Princess Road Clinic,478792,471922,5280365
Sports Injury Clinic,464723,103208,5280365
R & R Fitness Sports Injury Unit,356737,114103,5280365
S O C Bristol Ltd,357389.7,174966.4,5280365
Edgware General Hospital,519772,191078,5280365
Hansford & Crocker Within Total Fitness,502329,431822,5280365
Sports Therapy North East Within James Hogg Podiatry,425236,540515.6,5280365
S B Sports Injury & Physiotherapy Clinic,374888.4,307873.3,5280365
The Melbury Clinic Ltd,357236.9,109115.9,5280365
Drayton Surgery,618193,313878.1,5280365
The Windsor Eye Clinic,489989.8,181320.5,5280365
Broughton Grange Clinic,485827,276456,5280365
Eternally Young,484594,188006,5280365
London Knee Clinic Ltd,532907,180125,5280365
Waterside Private Patient Unit Within Weston Hospital,332405.9,158584.7,5280365
Ripon Natural Health Centre Ltd,431182,471296,5280365
Belper Backpain Clinic,434522,348085,5280365
Ele King,510828,159954,5280365
Chartwell Slimming Clinic,519145,186134,5280365
Pennine Breast Screening Service Within St Lukes Hospital,415882,431876,5280365
Spring Gardens Clinic,614341,157265,5280365
Boots,528320,181655,5280364
St James Clinic,562771.8,319558.7,5280365
I T R M Clinic Ltd,458112.5,403135.8,5280365
Rhos Health Visitors,329196,346463,5280365
The Beresford Clinic,290760,73067,5280365
North Lambert Community Mental Health Team,531170,176069,5280365
Boots,401195.8,298659,5280364
Darwen Health Centre,368970.1,422247.8,5280365
Boots,382751,386932,5280364
Epsom Day Surgery,521636,160932,5280365
Wingfield Resource Centre,528368,150680.4,5280365
Cadoxton Clinic,312647.9,168988,5280365
Birtley Clinic,427197.3,556202.7,5280365
Boots,447151.1,167215.1,5280364
Advanced Hair & Skin Clinic,389786,413648,5280365
Aviation Medica,552815,222820,5280365
Robin Jackson,518155,174862,5280365
Flitwick Osteopathic Clinic,502298.4,235666,5280365
Medstead Osteopathic Practice,466312,135043,5280365
Boots,536129,200469,5280364
Boots,511845,221446,5280364
Boots,333834,350130,5280364
Boots,413456,188694,5280364
Babyvision,355469.1,312731.3,5280365
Bull Meadow Clinic,292329,92130,5280365
Weymouth & Portland Community Mental Health Team,366058,79587,5280365
Child & Adolescent Mental Health,580445,112820,5280365
Gamlingay Community Nurses,523898,251934,5280365
Lloyds Wellbeing Centre,533171,181086,5280365
Contraception & Sexual Health Service,450802,519873,5280365
Ystrad Clinic,298819,194914,5280365
Chailey Heritage Clinical Services,538266,121051,5280365
The Beauty Spot Cosmetic Clinic,454248,361706,5280365
Coxheath Clinic,574305,151022,5280365
The Derbyshire Sporting Joint,436352.2,336730.5,5280365
Child & Adolescent Mental Health,293210.2,91972.9,5280365
Child & Adolescent Mental Health Services,422232,303808,5280365
Hartcliffe Health Centre,358271,167794,5280365
Dr A Saleh,360292.1,388039,5280365
Tonteg Child & Family Clinic,308824,186796,5280365
The Partnership,601961,143087,5280365
Ringwood Body Consultancy Ltd,414856,105322.7,5280365
Equilibrium,541601,109987,5280365
Ann McLaughlin Physiotherapy,518210,180698,5280365
The Community Addiction Unit,319425,176958,5280365
Croxteth Family Health Clinic,340477.6,395819.5,5280365
Visionsavers Ltd,291915,91511,5280365
Hillside Primary Care Centre,520694,183940,5280365
Deansgate Osteopathic Clinic,371371,409243,5280365
BUPA,532931,181326.4,5280365
St Johns Health Centre,408223,425246,5280365
Kirkham Clinic,342232,432103,5280365
Salford Rail Hospital Trust,377404,401781,5280365
myosteo.com,493490,225517,5280365
Mr B G Simpson - the Physiotherapy Health Centre,614926,245981,5280365
Back in Motion,611130,301232,5280365
Medicare Francais,525460,178619,5280365
Samseal Sports Therapy,531746,312862.6,5280365
Jacqueline Sheldrake,528424,181974,5280365
Core Clinics,423146.5,265778.8,5280365
Warsop Primary Care Centre,456694,368145,5280365
Rainhill Clinic,349257.9,391144.1,5280365
Geoff Evans Ltd,446932,128476,5280365
Hamadryad Centre,318512.4,174370.2,5280365
Walnut Grove Clinic,346584.9,176320.4,5280365
Private G P,461030.1,301924.9,5280365
Boots,335125.4,390570.1,5280364
Saltburn Clinic,466374,521311.5,5280365
Freshfields Clinic,417572,275731,5280365
Cwmbran Clinic,329457,195178,5280365
Kingsway Clinic,544993,260755,5280365
The Manner Clinic,445570.8,115319.9,5280365
Waterlooville Health Centre,467996.1,110709.6,5280365
West Mead Clinic,511463.1,186106.3,5280365
Provide,571032.5,204756.3,5280365
Boots,442658,293998,5280364
Alfreton Primary Care Centre,440690,355768,5280365
Graham Park Health Centre,521698.8,190652.7,5280365
The Rosehill Clilic,526504,166150,5280365
Speech & Language Therapy,458517,378593,5280365
Karuna Teachings Ltd,272131,80007,5280365
The Cosmetic Clinic,563220.6,322102.1,5280365
West Ham Lane Health Centre,539229,183881,5280365
St Georges Community Health Centre,434117,387553,5280365
Child Development Centre,502046,246633,5280365
